,_c0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,GPJ,score,Desempenho
263,1057,1058,Erling Haaland,NOR,FW,Manchester City,Premier League,22,2000,20,19,1636,18.2,25,3.85,1.98,51.4,0.3,0.58,12.6,0.0,0.22,0.22,11.7,15.9,73.7,147.5,28.8,6.76,8.46,79.9,3.57,4.67,76.5,0.27,0.33,83.3,0.16,0.93,0.49,0.77,0.0,1.87,15.9,13.6,2.09,0.0,0.11,0.0,0.27,0.11,0.0,0.0,0.0,0.0,11.7,0.22,0.49,2.03,1.43,0.0,0.11,0.22,0.22,0.05,0.38,0.33,0.0,0.0,0.0,0.05,0.0,0.11,0.05,0.0,0.05,0.05,0.0,0.05,0.0,0.05,0.38,0.11,0.27,0.11,0.22,0.55,0.0,24.2,0.6,1.43,9.56,13.2,7.53,24.0,0.77,0.27,35.7,0.44,57.1,12.6,55.7,20.5,1.04,0.27,0.93,1.43,0.99,18.1,5.05,0.16,0.0,0.0,0.82,0.82,0.27,0.27,0.05,0.05,0.0,0.0,1.1,1.37,1.26,52.1,1.25,464.85400000000004,Excelente
326,1260,1261,Harry Kane,ENG,FW,Tottenham,Premier League,29,1993,23,23,2055,22.8,17,3.55,1.58,44.4,0.19,0.42,15.5,0.09,0.09,0.13,16.3,23.5,69.4,302.2,109.8,7.59,9.65,78.6,5.75,7.41,77.5,2.41,3.9,61.8,0.04,1.71,2.37,1.32,0.18,4.87,23.5,21.2,2.06,0.44,0.35,0.48,1.1,0.83,0.0,0.0,0.0,0.0,16.3,0.22,1.1,3.68,2.5,0.09,0.31,0.35,0.31,0.13,0.39,0.26,0.0,0.0,0.09,0.04,0.0,0.31,0.26,0.0,0.09,0.22,0.13,0.31,42.9,0.18,0.75,0.22,0.53,0.04,0.35,0.48,0.0,33.9,0.75,2.46,16.1,15.9,4.78,33.8,2.72,0.92,33.9,1.45,53.2,21.1,116.0,47.3,1.67,1.36,0.57,1.67,1.84,26.8,5.48,0.18,0.0,0.0,0.83,1.4,0.48,1.1,0.26,0.04,0.0,0.0,2.15,1.75,2.02,46.5,0.7391304347826086,360.2339999999999,Excelente
481,1858,1859,Victor Osimhen,NGA,FW,Napoli,Serie A,24,1998,17,16,1401,15.6,16,4.42,1.79,40.6,0.23,0.57,11.7,0.0,0.0,0.0,9.17,12.9,71.1,123.4,18.5,5.45,6.6,82.5,2.44,3.46,70.4,0.38,0.58,66.7,0.19,1.15,0.71,0.32,0.0,0.83,12.9,12.4,0.51,0.0,0.06,0.13,0.32,0.13,0.0,0.0,0.0,0.0,9.17,0.0,0.83,2.37,1.73,0.0,0.13,0.26,0.26,0.0,0.38,0.26,0.0,0.0,0.06,0.06,0.0,0.19,0.06,0.0,0.06,0.13,0.0,0.26,0.0,0.26,0.26,0.06,0.19,0.13,0.32,0.96,0.0,26.2,1.03,1.47,8.27,17.0,7.76,26.2,2.37,0.58,24.3,1.15,48.6,15.6,92.0,30.2,1.47,0.64,0.96,3.33,1.73,19.9,6.28,0.13,0.0,0.0,1.67,1.41,1.03,0.32,0.06,0.06,0.06,0.0,1.54,2.12,2.18,49.3,0.9411764705882353,308.60299999999995,Excelente
65,252,253,Wissam Ben Yedder,FRA,FW,Monaco,Ligue 1,32,1990,19,16,1135,12.6,14,2.46,1.59,64.5,0.32,0.5,15.7,0.08,0.32,0.4,20.7,27.1,76.3,274.9,57.2,12.1,14.5,83.6,6.03,8.02,75.2,0.71,1.59,45.0,0.24,1.03,1.59,1.35,0.0,3.33,27.1,25.4,1.67,0.0,0.08,0.0,0.71,0.0,0.0,0.0,0.0,0.0,20.7,0.08,0.71,2.46,1.75,0.0,0.16,0.24,0.16,0.16,0.56,0.32,0.0,0.0,0.16,0.0,0.08,0.63,0.32,0.16,0.08,0.4,0.16,0.71,22.2,0.56,0.87,0.0,0.87,0.24,0.87,0.0,0.0,35.8,0.0,1.27,14.8,20.0,6.35,35.4,2.54,1.27,50.0,1.11,43.8,27.7,156.6,70.0,2.86,1.75,1.43,1.59,1.43,27.5,8.33,0.08,0.0,0.0,0.71,0.79,0.71,0.71,0.32,0.08,0.0,0.0,2.62,0.63,1.19,34.8,0.7368421052631579,303.16349999999994,Excelente
628,2451,2452,Ivan Toney,ENG,FW,Brentford,Premier League,26,1996,20,20,1789,19.9,14,2.76,1.01,36.4,0.18,0.5,14.5,0.25,0.2,0.2,14.6,24.9,58.7,183.6,61.6,9.2,13.5,68.0,3.32,5.98,55.5,0.65,1.31,50.0,0.15,0.95,1.71,0.9,0.2,2.36,24.9,24.0,0.85,0.15,0.35,0.05,0.85,0.2,0.05,0.0,0.0,0.0,14.6,0.05,0.75,2.11,1.21,0.1,0.15,0.15,0.5,0.0,0.3,0.1,0.0,0.05,0.0,0.15,0.0,0.8,0.5,0.15,0.3,0.35,0.3,0.65,46.2,0.35,0.85,0.3,0.55,0.45,1.26,1.06,0.0,39.0,1.51,4.17,16.7,18.2,4.92,38.8,1.51,0.4,26.7,0.9,60.0,19.3,76.0,20.6,0.25,0.6,0.2,3.27,1.31,28.0,4.82,0.4,0.0,0.0,1.76,2.31,0.85,0.85,0.5,0.15,0.0,0.0,2.96,3.47,3.72,48.3,0.7,302.30100000000004,Excelente
355,1358,1359,Alexandre Lacazette,FRA,FW,Lyon,Ligue 1,31,1991,22,22,1923,21.4,13,2.85,1.4,49.2,0.15,0.3,14.9,0.19,0.19,0.19,20.3,29.0,70.0,292.1,82.2,10.8,13.8,78.0,6.36,8.69,73.1,1.26,2.38,52.9,0.19,1.59,1.92,1.36,0.05,3.6,29.0,27.1,1.5,0.33,0.28,0.14,1.45,0.05,0.23,0.05,0.19,0.0,20.3,0.42,1.03,3.64,2.71,0.05,0.28,0.23,0.33,0.05,0.33,0.28,0.0,0.0,0.0,0.05,0.0,1.5,0.84,0.33,0.51,0.65,0.37,1.07,34.8,0.7,0.7,0.0,0.7,0.61,2.1,0.19,0.0,39.7,0.42,2.71,15.1,22.2,6.07,39.5,2.24,1.12,50.0,0.84,37.5,30.1,133.4,43.7,1.17,0.89,0.51,1.96,1.68,29.3,7.15,0.09,0.0,0.0,2.01,1.59,0.33,1.45,0.84,0.05,0.0,0.0,2.76,0.93,1.12,45.5,0.5909090909090909,301.53700000000003,Excelente
44,184,185,Folarin Balogun,ENG,FW,Reims,Ligue 1,21,2001,21,18,1591,17.7,14,3.33,1.58,47.5,0.17,0.36,15.2,0.06,0.23,0.23,10.5,16.1,65.3,146.9,34.1,6.21,7.97,78.0,3.22,4.97,64.8,0.4,0.96,41.2,0.06,0.85,0.85,0.62,0.0,1.98,16.1,14.7,1.24,0.0,0.17,0.0,0.68,0.0,0.0,0.0,0.0,0.0,10.5,0.17,0.62,2.15,1.3,0.0,0.45,0.23,0.17,0.0,0.34,0.11,0.0,0.11,0.0,0.11,0.0,0.28,0.11,0.0,0.17,0.11,0.06,0.51,11.1,0.45,0.9,0.06,0.85,0.06,0.34,0.62,0.0,28.6,0.62,2.71,11.2,15.0,5.88,28.4,2.94,1.02,34.6,1.58,53.8,21.2,134.4,52.4,1.92,0.62,1.36,2.82,2.6,21.0,8.31,0.17,0.0,0.0,0.9,1.92,0.96,0.68,0.11,0.11,0.0,0.0,2.94,0.51,2.03,20.0,0.6666666666666666,301.0195,Excelente
409,1609,1610,Kylian Mbapp�,FRA,FW,Paris S-G,Ligue 1,24,1998,19,17,1468,16.3,13,4.42,2.21,50.0,0.15,0.31,16.2,0.0,0.12,0.25,33.6,42.0,79.9,436.0,100.6,20.7,24.7,83.8,8.9,11.1,80.1,1.04,1.96,53.1,0.12,1.84,2.33,2.58,0.37,4.11,42.0,40.1,1.78,0.0,0.18,0.0,1.9,0.25,0.74,0.12,0.0,0.0,33.6,0.12,0.61,4.11,3.01,0.12,0.37,0.43,0.18,0.0,0.49,0.31,0.0,0.0,0.06,0.12,0.0,0.31,0.12,0.0,0.12,0.18,0.06,0.37,16.7,0.31,0.18,0.0,0.18,0.18,0.49,0.18,0.0,55.8,0.25,1.29,17.9,37.4,10.8,55.6,6.63,2.09,31.5,3.93,59.3,49.6,323.4,153.4,6.01,4.17,3.25,2.21,1.35,49.0,15.6,0.18,0.0,0.0,0.55,1.17,1.17,1.9,0.12,0.06,0.0,0.0,1.72,0.37,0.31,54.5,0.6842105263157895,292.3915,Excelente
376,1455,1456,Ademola Lookman,NGA,FWMF,Atalanta,Serie A,25,1997,21,16,1299,14.4,12,2.64,1.04,39.5,0.24,0.6,16.0,0.07,0.21,0.21,25.4,33.4,76.1,359.8,108.2,13.9,16.5,84.4,7.92,10.3,77.0,1.46,2.57,56.8,0.28,2.08,1.6,1.74,0.28,4.17,33.4,30.7,2.71,0.42,0.35,0.14,2.29,0.56,1.11,0.14,0.49,0.0,25.4,0.0,1.11,4.65,3.19,0.42,0.35,0.35,0.35,0.0,0.69,0.42,0.0,0.07,0.14,0.07,0.0,0.56,0.21,0.14,0.28,0.14,0.14,0.56,25.0,0.42,0.9,0.0,0.9,0.21,0.76,0.0,0.0,44.5,0.07,3.06,18.6,23.4,6.25,44.3,3.33,1.53,45.8,1.39,41.7,29.2,175.6,93.3,3.82,1.32,1.74,2.43,2.71,34.4,9.58,0.14,0.0,0.0,0.9,1.88,0.63,2.29,0.21,0.07,0.0,0.0,4.86,0.21,0.63,25.0,0.5714285714285714,283.7195,Excelente
220,899,900,Niclas F�llkrug,GER,FW,Werder Bremen,Bundesliga,30,1993,19,19,1667,18.5,13,3.03,1.19,39.3,0.16,0.41,16.6,0.0,0.22,0.22,19.5,32.1,60.8,311.9,76.4,10.8,15.0,71.9,5.46,9.35,58.4,2.22,3.51,63.1,0.16,1.35,1.95,1.08,0.05,3.46,32.1,31.5,0.49,0.0,0.22,0.65,0.81,0.0,0.0,0.0,0.0,0.0,19.5,0.16,1.51,2.49,1.95,0.0,0.0,0.27,0.27,0.0,0.32,0.27,0.0,0.0,0.05,0.0,0.0,0.38,0.22,0.0,0.27,0.11,0.11,0.38,28.6,0.27,0.54,0.22,0.32,0.0,0.38,1.14,0.0,43.8,1.46,3.14,21.9,19.2,4.7,43.6,1.78,0.81,45.5,0.81,45.5,24.2,106.4,42.2,1.41,1.3,0.81,2.7,2.0,34.8,6.32,0.22,0.0,0.0,1.14,1.62,0.92,0.81,0.22,0.0,0.0,0.0,3.35,5.14,3.68,58.3,0.6842105263157895,283.26000000000005,Excelente
