,_c0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,score,Desempenho
792,2475,2476,Kieran Trippier,ENG,DF,Newcastle Utd,Premier League,32,1990,22,22,1954,21.7,1,0.37,0.09,25.0,0.13,0.5,28.1,0.37,0.0,0.0,52.2,73.1,71.4,996.8,437.2,22.9,26.1,87.5,19.6,26.0,75.4,8.8,17.5,50.4,0.18,3.0,4.56,2.76,0.92,6.36,73.1,53.8,18.9,5.12,0.46,0.28,10.4,8.53,5.3,1.94,2.21,0.51,52.2,0.37,1.34,4.93,2.17,2.58,0.0,0.05,0.09,0.05,0.32,0.28,0.05,0.0,0.0,0.0,0.0,2.17,1.52,1.2,0.92,0.05,1.38,2.53,54.5,1.15,1.2,0.55,0.65,1.2,3.36,1.98,0.0,81.6,2.95,19.5,34.2,28.3,0.74,81.6,0.97,0.41,42.9,0.37,38.1,33.5,108.7,54.1,0.97,0.97,0.05,0.65,0.18,41.7,4.38,0.23,0.0,0.0,1.15,0.83,0.23,10.4,1.52,0.0,0.05,0.0,6.96,1.38,0.97,58.8,126.65999999999998,Bom
322,940,941,Valentin Gendrey,FRA,DF,Lecce,Serie A,22,2000,22,20,1814,20.2,0,0.3,0.0,0.0,0.0,0.0,22.4,0.0,0.0,0.0,31.2,44.3,70.4,507.8,249.7,16.1,19.3,83.8,12.4,17.0,72.9,1.98,5.79,34.2,0.0,0.59,2.03,0.5,0.25,3.56,44.3,33.1,11.0,0.59,0.05,0.25,2.08,10.4,0.0,0.0,0.0,0.0,31.2,0.15,1.09,1.19,0.89,0.1,0.05,0.0,0.15,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,2.77,1.73,1.78,0.74,0.25,1.09,1.93,56.4,0.84,1.53,0.15,1.39,1.53,4.31,2.82,0.0,56.0,3.42,20.4,23.3,13.0,0.5,56.0,0.94,0.45,47.4,0.35,36.8,24.0,132.0,78.3,1.53,1.04,0.15,1.53,0.45,24.2,3.07,0.15,0.0,0.0,0.64,1.04,0.05,2.08,1.73,0.05,0.05,0.0,5.99,1.58,1.53,50.8,125.24000000000001,Bom
697,2172,2173,Mohammed Salisu,GHA,DF,Southampton,Premier League,23,1999,21,21,1889,21.0,0,0.76,0.19,25.0,0.0,0.0,12.1,0.0,0.0,0.0,40.4,55.0,73.4,745.1,339.6,16.4,18.8,87.1,19.7,25.0,79.0,4.05,9.57,42.3,0.05,0.33,3.76,0.33,0.19,3.81,55.0,49.4,5.33,1.19,0.05,0.48,0.62,4.14,0.0,0.0,0.0,0.0,40.4,0.29,0.57,1.1,0.76,0.24,0.05,0.05,0.0,0.0,0.1,0.05,0.05,0.0,0.0,0.0,0.0,2.38,1.33,1.57,0.71,0.1,1.14,1.52,75.0,0.38,2.52,1.05,1.48,1.43,3.81,5.52,0.05,68.9,9.81,34.4,29.1,5.76,1.05,68.9,0.43,0.33,77.8,0.1,22.2,33.3,154.7,69.6,0.24,0.52,0.0,0.24,0.43,34.8,0.19,0.24,0.0,0.0,1.19,0.14,0.05,0.62,1.33,0.0,0.0,0.05,7.24,2.57,1.24,67.5,123.27000000000001,Bom
0,1,2,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,22,22,1980,22.0,0,0.86,0.05,5.3,0.0,0.0,13.5,0.0,0.0,0.0,38.5,47.2,81.5,751.5,318.5,10.9,12.9,84.5,23.2,25.7,90.1,3.77,7.0,53.9,0.05,0.27,2.91,0.09,0.0,4.5,47.2,43.3,3.73,3.32,0.0,0.55,0.18,0.09,0.0,0.0,0.0,0.0,38.5,0.23,0.59,1.14,0.86,0.0,0.0,0.18,0.0,0.09,0.18,0.14,0.0,0.0,0.05,0.0,0.0,2.5,1.59,1.45,1.0,0.05,1.32,1.68,78.4,0.36,2.23,0.77,1.45,2.0,4.5,2.91,0.05,59.2,6.23,27.5,29.5,2.73,1.09,59.2,0.68,0.32,46.7,0.36,53.3,40.0,234.2,125.0,0.55,0.23,0.09,0.73,0.68,34.5,0.23,0.09,0.0,0.0,1.32,0.5,0.05,0.18,1.59,0.0,0.0,0.0,6.64,2.18,1.23,64.0,121.95,Bom
669,2091,2092,Antonee Robinson,USA,DF,Fulham,Premier League,25,1997,20,20,1738,19.3,0,0.05,0.0,0.0,0.0,0.0,27.8,0.0,0.0,0.0,39.5,53.9,73.3,678.6,273.1,17.6,20.1,87.4,17.4,22.4,77.6,3.73,8.5,43.9,0.0,0.67,3.01,1.24,0.67,3.78,53.9,43.9,10.0,0.67,0.0,0.16,3.63,9.33,0.0,0.0,0.0,0.0,39.5,0.0,1.61,1.92,1.81,0.05,0.05,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.61,0.93,1.19,0.36,0.05,1.09,1.3,84.0,0.21,1.76,0.52,1.24,1.4,3.01,2.38,0.05,64.2,3.68,21.6,27.3,16.4,0.93,64.2,2.12,0.88,41.5,0.88,41.5,32.4,222.0,132.0,3.37,2.85,0.47,1.24,0.62,34.2,3.83,0.26,0.0,0.0,0.83,0.62,0.1,3.63,0.93,0.0,0.05,0.0,7.41,1.09,0.83,56.8,121.66999999999999,Bom
617,1900,1901,Fabiano Parisi,ITA,DF,Empoli,Serie A,22,2000,20,20,1690,18.8,2,0.74,0.11,14.3,0.14,1.0,22.5,0.0,0.0,0.0,38.0,50.2,75.7,611.3,298.8,20.1,22.4,89.8,14.2,18.8,75.4,2.82,5.74,49.1,0.0,0.8,2.98,1.38,0.48,4.47,50.2,39.7,10.2,1.22,0.05,0.21,1.76,8.94,0.05,0.05,0.0,0.0,38.0,0.27,1.38,1.97,1.44,0.11,0.05,0.11,0.21,0.05,0.21,0.21,0.0,0.0,0.0,0.0,0.0,2.07,1.12,1.22,0.59,0.27,1.06,1.76,60.6,0.69,1.44,0.59,0.85,1.17,3.24,2.93,0.0,64.2,5.05,23.4,27.1,15.1,0.69,64.2,3.24,1.54,47.5,1.28,39.3,33.1,207.8,119.0,2.93,2.18,0.27,1.76,1.22,33.6,1.97,0.27,0.05,0.0,0.96,2.29,0.0,1.76,1.12,0.0,0.05,0.0,7.29,0.64,0.37,63.2,121.63,Bom
467,1397,1398,Vincent Le Goff,FRA,DF,Lorient,Ligue 1,33,1989,22,22,1980,22.0,0,0.45,0.23,50.0,0.0,0.0,17.0,0.0,0.0,0.0,42.2,51.3,82.2,663.4,288.8,21.5,24.2,88.7,16.8,19.6,85.6,2.45,4.95,49.5,0.0,0.41,3.59,0.82,0.32,4.68,51.3,41.5,9.73,1.5,0.09,0.05,1.23,8.23,0.0,0.0,0.0,0.0,42.2,0.14,0.77,1.18,1.0,0.14,0.0,0.0,0.0,0.05,0.09,0.09,0.0,0.0,0.0,0.0,0.0,2.18,1.0,1.59,0.5,0.09,1.41,1.82,77.5,0.41,0.73,0.18,0.55,1.14,3.32,3.14,0.05,60.2,4.82,21.7,29.4,9.82,1.05,60.2,1.0,0.36,36.4,0.45,45.5,37.5,218.9,116.5,2.14,1.55,0.18,0.64,0.41,33.1,2.41,0.05,0.0,0.0,0.41,0.55,0.05,1.23,1.0,0.0,0.0,0.0,5.73,0.77,0.86,47.2,121.63,Bom
835,2595,2596,Mitchell Weiser,GER,DFFW,Werder Bremen,Bundesliga,28,1994,19,19,1636,18.2,1,1.04,0.38,36.8,0.05,0.14,17.3,0.0,0.0,0.0,33.7,46.7,72.1,556.9,250.9,17.6,20.9,84.0,12.1,16.6,73.2,3.02,5.44,55.6,0.38,1.32,3.52,1.54,0.38,4.62,46.7,35.9,10.7,0.27,0.33,0.44,2.25,10.4,0.0,0.0,0.0,0.0,33.7,0.16,1.76,2.97,2.31,0.16,0.11,0.11,0.27,0.0,0.66,0.49,0.05,0.0,0.05,0.05,0.0,2.75,1.7,1.32,1.1,0.33,1.21,2.31,52.4,1.1,1.81,0.16,1.65,1.32,4.07,1.37,0.0,64.2,2.14,13.4,31.3,20.7,2.58,64.2,4.12,1.1,26.7,2.25,54.7,31.8,145.2,62.5,1.54,1.48,0.49,3.52,1.48,34.2,5.77,0.27,0.0,0.0,1.26,2.2,0.11,2.25,1.7,0.05,0.0,0.0,7.03,0.99,1.1,47.4,121.09000000000002,Bom
755,2365,2366,Pascal Struijk,NED,DF,Leeds United,Premier League,23,1999,20,20,1677,18.6,2,0.7,0.32,46.2,0.15,0.33,12.3,0.0,0.0,0.0,45.4,57.5,78.9,646.7,293.4,26.6,30.1,88.4,15.6,19.7,79.2,1.77,4.03,44.0,0.05,0.65,4.14,0.65,0.16,5.38,57.5,44.9,12.4,0.81,0.0,0.11,0.91,11.6,0.0,0.0,0.0,0.0,45.4,0.27,1.29,1.51,1.13,0.16,0.0,0.16,0.0,0.05,0.11,0.0,0.0,0.0,0.11,0.0,0.0,3.39,2.37,1.67,1.29,0.43,1.83,2.96,61.8,1.13,1.34,0.38,0.97,1.4,4.78,2.63,0.0,69.9,3.28,20.5,31.1,18.5,1.34,69.9,0.97,0.48,50.0,0.38,38.9,29.2,110.8,58.4,1.18,1.13,0.05,1.24,0.48,34.7,2.42,0.22,0.0,0.0,1.34,0.59,0.0,0.91,2.37,0.0,0.05,0.0,5.38,2.37,1.83,56.4,120.94999999999999,Bom
239,699,700,Axel Disasi,FRA,DF,Monaco,Ligue 1,24,1998,23,22,1980,22.0,2,0.64,0.14,21.4,0.14,0.67,15.4,0.0,0.0,0.05,43.1,51.6,83.5,883.7,341.4,13.5,15.3,88.7,23.2,26.0,89.3,5.68,8.73,65.1,0.14,0.36,5.5,0.41,0.14,5.14,51.6,49.2,2.32,1.45,0.0,0.82,0.5,0.86,0.0,0.0,0.0,0.0,43.1,0.05,0.36,0.77,0.73,0.0,0.0,0.0,0.0,0.05,0.23,0.23,0.0,0.0,0.0,0.0,0.0,1.05,0.68,0.41,0.45,0.18,0.59,0.95,61.9,0.36,1.55,0.86,0.68,1.77,2.82,3.32,0.05,61.1,6.36,22.2,35.2,4.5,1.18,61.1,0.36,0.18,50.0,0.18,50.0,42.8,301.5,177.6,1.59,1.27,0.09,0.5,0.36,38.8,0.41,0.09,0.0,0.0,0.73,0.32,0.0,0.5,0.68,0.0,0.0,0.0,6.18,2.27,1.0,69.4,120.67000000000002,Bom
