,_c0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,GPJ,score,Desempenho
147,2318,2319,Yann Sommer,SUI,GK,M'Gladbach,Bundesliga,34,1988,10,10,900,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.9,60.9,81.9,1144.8,743.2,12.4,12.5,99.2,28.0,28.5,98.2,9.4,19.6,48.0,0.0,0.0,0.5,0.0,0.0,0.0,60.9,48.3,12.4,3.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,49.9,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0,63.8,44.4,63.6,0.2,0.0,0.0,63.8,0.0,0.0,0.0,0.0,0.0,42.0,180.3,98.1,0.0,0.0,0.0,0.0,0.0,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.1,0.0,0.0,140.89999999999998,Excelente
100,1777,1778,Manuel Neuer,GER,GK,Bayern Munich,Bundesliga,36,1986,12,12,1080,12.0,0,0.17,0.08,50.0,0.0,0.0,9.0,0.0,0.0,0.0,37.4,42.0,89.1,880.9,606.7,8.0,8.0,100.0,19.5,19.8,98.3,9.83,14.1,69.8,0.0,0.0,0.08,0.0,0.0,0.08,42.0,34.6,7.42,1.58,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,37.4,0.0,0.0,0.17,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.08,44.0,36.3,43.3,0.67,0.17,0.17,44.0,0.0,0.0,0.0,0.0,0.0,28.2,127.8,75.8,0.0,0.0,0.0,0.08,0.0,26.5,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.25,0.0,100.0,0.0,132.45,Excelente
92,1653,1654,Alexander Meyer,GER,GK,Dortmund,Bundesliga,31,1991,4,4,360,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8,49.0,89.3,1039.5,635.0,9.0,9.25,97.3,23.5,23.5,100.0,11.3,15.8,71.4,0.0,0.0,0.0,0.0,0.0,0.0,49.0,38.8,10.0,3.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,43.8,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,50.5,32.3,49.0,1.25,0.25,0.25,50.5,0.0,0.0,0.0,0.0,0.0,34.0,182.0,110.5,0.0,0.0,0.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.25,0.0,100.0,0.0,124.44999999999996,Bom
7,215,216,Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,32,1990,20,20,1800,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,43.5,80.6,850.1,578.4,9.0,9.0,100.0,16.9,17.1,98.8,8.85,16.9,52.4,0.0,0.05,0.55,0.0,0.0,0.05,43.5,35.1,8.15,2.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.15,0.05,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.05,45.8,36.0,45.3,0.45,0.0,0.0,45.8,0.0,0.0,0.0,0.0,0.0,29.1,125.8,66.1,0.0,0.0,0.0,0.0,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.45,0.0,100.0,0.0,118.35000000000002,Bom
58,1073,1074,Samir Handanovi?,SVN,GK,Inter,Serie A,38,1984,8,8,720,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,39.3,89.2,798.8,552.8,11.0,11.1,98.9,16.3,16.4,99.2,7.63,11.3,67.8,0.0,0.0,0.75,0.0,0.0,0.0,39.3,31.6,7.25,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.38,0.0,0.25,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,41.4,33.3,41.0,0.25,0.13,0.0,41.4,0.0,0.0,0.0,0.0,0.0,23.9,123.3,101.1,0.0,0.0,0.0,0.13,0.0,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,118.1,Bom
146,2317,2318,Yann Sommer,SUI,GK,Bayern Munich,Bundesliga,34,1988,5,5,450,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4,42.6,87.8,869.6,568.2,8.4,8.4,100.0,20.2,20.4,99.0,8.8,13.4,65.7,0.0,0.0,0.4,0.0,0.0,0.2,42.6,36.0,6.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4,0.0,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,43.8,33.2,42.8,1.0,0.0,0.0,43.8,0.0,0.0,0.0,0.0,0.0,30.0,123.2,63.0,0.0,0.0,0.0,0.0,0.0,29.4,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.4,0.2,66.7,0.0,117.19999999999999,Bom
1,68,69,Alisson,BRA,GK,Liverpool,Premier League,30,1992,20,20,1800,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.8,37.1,85.7,746.6,483.5,7.8,7.8,100.0,16.2,16.6,97.9,7.6,12.4,61.3,0.05,0.05,0.45,0.0,0.0,0.05,37.1,30.2,6.8,1.55,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,31.8,0.1,0.05,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.6,0.0,39.5,30.6,38.5,1.1,0.0,0.0,39.5,0.0,0.0,0.0,0.0,0.0,24.6,121.3,74.7,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.2,0.05,80.0,0.0,116.10000000000002,Bom
39,762,763,Ederson,BRA,GK,Manchester City,Premier League,29,1993,21,21,1890,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.7,36.4,86.9,745.9,481.5,7.14,7.24,98.7,17.0,17.1,99.2,7.52,12.0,62.5,0.05,0.05,0.24,0.0,0.0,0.0,36.4,30.6,5.86,1.48,0.05,0.19,0.0,0.0,0.0,0.0,0.0,0.0,31.7,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.05,0.1,50.0,0.05,0.0,0.0,0.0,0.0,0.05,0.33,0.1,37.8,29.2,37.5,0.38,0.0,0.0,37.8,0.0,0.0,0.0,0.0,0.0,25.3,116.9,73.4,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.24,0.0,100.0,0.0,115.89999999999999,Bom
13,297,298,Janis Blaswich,GER,GK,RB Leipzig,Bundesliga,31,1991,13,13,1170,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,39.2,88.2,738.8,397.1,9.77,9.77,100.0,19.5,19.5,100.0,5.15,9.77,52.8,0.0,0.0,0.23,0.0,0.0,0.08,39.2,31.6,7.62,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,40.8,29.8,40.2,0.69,0.0,0.0,40.8,0.08,0.08,100.0,0.0,0.0,26.7,97.2,48.3,0.0,0.0,0.0,0.0,0.0,24.8,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.54,0.0,100.0,0.0,115.81999999999998,Bom
156,2490,2491,Sven Ulreich,GER,GK,Bayern Munich,Bundesliga,34,1988,3,3,270,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7,43.7,84.0,760.7,510.3,13.7,13.7,100.0,17.7,18.0,98.1,5.33,11.7,45.7,0.0,0.0,0.0,0.0,0.0,0.0,43.7,36.7,6.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.0,0.0,0.33,0.33,100.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,46.3,41.0,46.3,0.33,0.0,0.0,46.3,0.0,0.0,0.0,0.0,0.0,32.3,147.0,72.3,0.0,0.0,0.0,0.0,0.0,26.7,0.0,0.33,0.0,0.0,0.33,0.33,0.0,0.0,0.33,0.0,0.33,0.0,1.67,0.0,0.0,0.0,0.0,115.4,Bom
