,_c0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,GPJ,score,Desempenho
637,1780,1781,Neymar,BRA,MFFW,Paris S-G,Ligue 1,31,1992,19,17,1495,16.6,12,2.05,1.02,50.0,0.29,0.59,17.0,0.36,0.12,0.12,59.8,74.6,80.1,863.9,317.2,33.6,39.2,85.8,17.5,21.1,82.9,4.04,7.17,56.3,0.6,2.83,7.95,2.77,0.12,9.1,74.6,67.8,6.27,1.93,1.39,0.48,3.25,0.72,3.13,1.57,0.48,0.0,59.8,0.54,1.51,6.2,4.4,0.72,0.12,0.36,0.6,0.0,0.9,0.6,0.18,0.0,0.06,0.06,0.0,1.33,0.84,0.36,0.54,0.42,0.54,1.14,47.4,0.6,0.42,0.06,0.36,0.18,1.51,0.06,0.06,86.8,0.18,7.05,46.0,35.0,4.28,86.7,5.6,2.17,38.7,2.71,48.4,75.4,443.9,197.8,4.1,4.46,0.72,3.01,2.17,74.4,7.53,0.36,0.06,0.06,1.51,3.8,0.3,3.25,0.84,0.06,0.0,0.0,3.55,0.06,0.12,33.3,0.631578947368421,144.23,Excelente
624,1748,1749,Jamal Musiala,GER,MFFW,Bayern Munich,Bundesliga,19,2003,19,17,1360,15.1,10,2.65,1.19,45.0,0.25,0.56,14.7,0.0,0.0,0.0,33.6,40.7,82.4,465.1,99.0,20.3,23.3,87.2,10.7,12.1,88.0,1.06,1.85,57.1,0.46,2.12,2.38,1.26,0.0,4.37,40.7,39.9,0.66,0.0,0.07,0.13,0.33,0.26,0.0,0.0,0.0,0.0,33.6,0.2,0.93,4.7,3.71,0.0,0.6,0.33,0.07,0.0,0.99,0.73,0.0,0.2,0.07,0.0,0.0,1.52,0.99,0.46,0.73,0.33,0.46,0.93,50.0,0.46,1.06,0.07,0.99,0.79,2.32,0.2,0.0,55.0,0.79,5.89,26.4,23.6,6.16,55.0,4.7,2.25,47.9,2.12,45.1,40.3,218.1,98.5,2.85,2.25,1.32,3.18,3.18,43.0,8.48,0.07,0.0,0.0,0.73,1.52,0.07,0.33,0.99,0.0,0.0,0.0,5.56,0.6,0.53,52.9,0.5263157894736842,132.92,Excelente
592,1650,1651,Lionel Messi,ARG,MFFW,Paris S-G,Ligue 1,35,1987,18,18,1577,17.5,10,4.57,1.94,42.5,0.13,0.29,17.8,0.74,0.0,0.0,53.3,66.5,80.1,830.5,299.4,29.1,33.3,87.5,15.9,19.3,82.8,5.31,7.83,67.9,0.57,2.57,7.6,4.69,0.06,10.5,66.5,61.6,3.77,0.91,2.0,0.34,2.63,0.11,2.46,0.97,1.03,0.0,53.3,1.09,1.83,6.46,4.23,0.69,0.57,0.46,0.4,0.11,1.26,0.97,0.0,0.17,0.06,0.06,0.0,0.97,0.74,0.06,0.46,0.46,0.4,0.86,46.7,0.46,0.4,0.0,0.4,0.0,0.97,0.0,0.0,78.3,0.17,2.8,38.0,38.3,5.94,78.3,6.29,3.37,53.6,2.4,38.2,67.8,388.0,176.5,3.94,4.29,1.26,1.43,2.46,67.9,8.17,0.0,0.0,0.0,0.17,1.54,0.29,2.63,0.74,0.0,0.0,0.0,2.34,0.0,0.17,0.0,0.5555555555555556,122.04000000000002,Excelente
977,2686,2687,Martin �degaard,NOR,MF,Arsenal,Premier League,24,1998,20,20,1684,18.7,8,2.73,0.86,31.4,0.16,0.5,18.9,0.27,0.0,0.0,38.3,48.4,79.1,595.1,181.2,19.7,22.5,87.4,13.5,17.0,79.8,3.21,4.97,64.5,0.27,2.3,3.53,2.51,0.11,7.54,48.4,44.7,3.53,2.62,0.8,0.21,2.51,0.32,0.59,0.21,0.21,0.05,38.3,0.16,1.23,5.08,3.53,0.7,0.11,0.48,0.16,0.11,0.64,0.53,0.0,0.0,0.11,0.0,0.0,1.02,0.7,0.37,0.48,0.16,0.21,0.91,23.5,0.7,0.48,0.11,0.37,0.16,1.18,0.37,0.0,56.8,0.86,5.61,23.7,28.2,4.06,56.8,2.25,1.28,57.1,0.8,35.7,33.0,183.0,83.9,2.78,1.71,0.96,1.23,1.5,40.5,5.08,0.16,0.0,0.0,1.02,0.8,0.05,2.51,0.7,0.0,0.0,0.0,5.19,0.48,0.7,40.9,0.4,119.89999999999998,Excelente
794,2187,2188,Oihan Sancet,ESP,MF,Athletic Club,La Liga,22,2000,21,19,1415,15.7,8,2.04,0.7,34.4,0.22,0.64,18.0,0.0,0.06,0.06,28.5,34.4,83.0,416.4,106.9,16.8,18.7,90.1,9.11,10.7,85.1,1.59,2.17,73.5,0.0,1.34,3.06,0.89,0.0,5.1,34.4,33.2,0.76,0.45,0.13,0.0,0.38,0.0,0.13,0.0,0.06,0.0,28.5,0.38,0.64,2.87,2.42,0.06,0.06,0.19,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.51,0.06,0.64,0.25,0.32,1.21,26.3,0.89,0.45,0.0,0.45,0.19,1.15,0.32,0.0,45.2,0.64,4.08,23.1,18.9,2.8,45.1,2.42,1.27,52.6,0.83,34.2,30.3,189.9,101.9,3.25,2.23,0.57,2.8,2.1,34.3,5.29,0.13,0.0,0.0,1.4,2.04,0.06,0.38,0.51,0.0,0.0,0.0,5.61,0.83,0.64,56.5,0.38095238095238093,119.0,Excelente
363,1015,1016,Pascal Gro�,GER,MFDF,Brighton,Premier League,31,1991,21,21,1821,20.2,6,1.04,0.5,47.6,0.29,0.6,16.0,0.0,0.0,0.0,47.1,61.4,76.7,769.4,223.5,24.0,26.7,89.8,18.2,22.2,81.7,3.61,8.91,40.6,0.15,2.08,4.01,1.49,0.15,7.03,61.4,51.4,9.75,2.43,0.3,0.79,6.68,2.33,4.01,2.13,1.39,0.1,47.1,0.25,1.53,3.71,2.38,1.14,0.0,0.15,0.0,0.05,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1.73,0.89,0.69,0.79,0.25,0.74,1.53,48.4,0.79,0.94,0.25,0.69,0.5,2.23,0.45,0.0,68.9,1.68,11.5,30.5,27.2,2.82,68.9,0.79,0.3,37.5,0.4,50.0,38.0,168.6,75.3,1.39,1.14,0.05,1.24,0.54,47.0,5.99,0.1,0.0,0.0,0.84,0.5,0.35,6.68,0.89,0.0,0.05,0.0,3.56,0.15,1.14,11.5,0.2857142857142857,116.13999999999999,Excelente
76,202,203,Harvey Barnes,ENG,MFFW,Leicester City,Premier League,25,1997,20,20,1696,18.8,8,2.5,1.22,48.9,0.17,0.35,16.1,0.0,0.0,0.0,18.4,25.9,71.0,236.2,68.2,11.9,15.1,78.9,4.52,6.76,66.9,0.74,1.44,51.9,0.05,0.59,1.22,1.12,0.16,2.29,25.9,25.2,0.53,0.0,0.16,0.05,1.22,0.43,0.0,0.0,0.0,0.0,18.4,0.11,0.9,1.97,1.44,0.0,0.0,0.27,0.21,0.05,0.53,0.32,0.0,0.0,0.11,0.05,0.05,0.85,0.59,0.37,0.37,0.11,0.48,1.28,37.5,0.8,0.96,0.0,0.96,0.27,1.12,0.32,0.0,38.6,0.43,3.99,14.4,20.7,4.41,38.6,2.93,0.64,21.8,1.81,61.8,24.7,173.5,87.8,3.09,2.55,1.6,2.98,1.6,30.9,9.04,0.05,0.0,0.0,1.38,1.22,0.27,1.22,0.59,0.0,0.0,0.0,3.03,1.01,1.91,34.5,0.4,114.32,Excelente
804,2212,2213,T�ji Savanier,FRA,MF,Montpellier,Ligue 1,31,1991,18,18,1559,17.3,7,1.79,0.69,38.7,0.13,0.33,27.4,0.58,0.17,0.17,43.0,60.7,70.9,798.2,305.0,18.8,22.3,84.7,13.8,17.7,78.1,7.75,16.2,47.9,0.06,1.97,6.3,1.91,0.23,7.98,60.7,50.6,9.71,3.87,0.17,0.87,6.99,1.16,4.45,1.85,2.02,0.12,43.0,0.4,1.21,4.22,2.31,1.33,0.23,0.0,0.35,0.0,0.29,0.12,0.12,0.0,0.0,0.06,0.0,1.91,1.33,0.87,0.75,0.29,0.92,2.08,44.4,1.16,1.04,0.17,0.87,1.27,3.18,0.46,0.06,73.0,1.97,11.7,41.3,21.4,1.04,72.8,3.7,1.91,51.6,1.16,31.3,52.1,301.2,126.5,1.68,2.02,0.06,2.2,1.79,48.3,3.7,0.17,0.06,0.0,2.2,3.24,0.0,6.99,1.33,0.0,0.0,0.0,7.86,0.35,0.92,27.3,0.3888888888888889,113.65,Excelente
463,1316,1317,Teun Koopmeiners,NED,MF,Atalanta,Serie A,24,1998,21,20,1835,20.4,6,1.81,0.74,40.5,0.11,0.27,22.8,0.25,0.1,0.2,41.0,55.0,74.5,760.6,307.2,16.7,19.2,86.7,17.7,22.1,80.0,5.15,10.7,47.9,0.15,1.72,5.05,1.67,0.39,6.08,55.0,50.1,4.75,1.76,0.2,0.74,4.51,0.83,2.01,0.74,0.98,0.0,41.0,0.15,0.93,3.87,2.65,0.74,0.0,0.39,0.1,0.0,0.64,0.39,0.15,0.0,0.1,0.0,0.0,1.42,0.78,0.44,0.78,0.2,0.93,1.62,57.6,0.69,1.27,0.2,1.08,0.78,2.21,1.42,0.05,65.9,3.48,16.9,29.2,20.5,1.96,65.7,1.52,0.69,45.2,0.78,51.6,36.4,177.4,90.8,1.76,1.81,0.29,1.47,0.88,44.6,3.19,0.25,0.0,0.0,1.32,0.74,0.05,4.51,0.78,0.0,0.0,0.0,6.03,1.03,0.59,63.6,0.2857142857142857,112.64999999999999,Excelente
941,2588,2589,James Ward-Prowse,ENG,MF,Southampton,Premier League,28,1994,22,22,1980,22.0,5,1.09,0.41,37.5,0.21,0.56,25.6,0.41,0.0,0.05,43.7,57.7,75.8,755.9,230.3,21.1,23.7,88.9,16.4,20.5,80.0,4.77,10.2,46.9,0.09,2.14,4.68,0.82,0.36,5.36,57.7,48.5,9.05,4.14,0.05,0.5,7.55,0.14,4.09,1.77,2.0,0.0,43.7,0.09,1.05,3.5,1.55,1.86,0.05,0.05,0.0,0.0,0.23,0.09,0.05,0.05,0.05,0.0,0.0,1.59,0.86,0.59,0.82,0.18,0.45,1.32,34.5,0.86,0.59,0.05,0.55,1.23,2.82,0.95,0.0,65.3,2.0,11.1,34.6,19.8,0.77,65.2,0.45,0.18,40.0,0.27,60.0,29.5,110.8,49.6,0.59,0.68,0.0,0.91,0.68,37.5,1.5,0.14,0.0,0.0,0.95,0.45,0.0,7.55,0.86,0.0,0.0,0.05,5.73,1.68,1.18,58.7,0.22727272727272727,112.62,Excelente
