Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
1,Brenden Aaronson,us USA,MFFW,Leeds United,eng Premier League,22-148,2000,26,23,1948,21.6,1,2,3,1,0,0,2,0,2.9,2.9,3.7,6.6,36,72,120,0.05,0.09,0.14,0.05,0.14,0.14,0.17,0.31,0.14,0.31,5bc43860
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-172,1987,27,27,2430,27.0,1,1,2,1,0,0,3,0,1.7,1.7,0.4,2.1,18,138,5,0.04,0.04,0.07,0.04,0.07,0.06,0.01,0.08,0.06,0.08,32c2d95f
3,Himad Abdelli,fr FRA,MFFW,Angers,fr Ligue 1,23-122,1999,20,14,1261,14.0,0,0,0,0,0,0,1,0,0.9,0.9,1.9,2.8,34,84,74,0.00,0.00,0.00,0.00,0.00,0.06,0.14,0.20,0.06,0.20,7978cbf0
4,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22-358,2000,26,26,2336,26.0,1,1,2,1,0,0,4,0,0.8,0.8,1.5,2.3,28,140,37,0.04,0.04,0.08,0.04,0.08,0.03,0.06,0.09,0.03,0.09,82464ce3
5,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-046,1993,19,18,1461,16.2,0,1,1,0,0,0,3,0,0.4,0.4,1.1,1.4,8,85,10,0.00,0.06,0.06,0.00,0.06,0.02,0.07,0.09,0.02,0.09,31626657
6,Oliver Abildgaard,dk DEN,MFDF,Hellas Verona,it Serie A,26-282,1996,4,0,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,8f5cdf66
7,Matthis Abline,fr FRA,FW,Auxerre,fr Ligue 1,19-356,2003,9,6,514,5.7,2,1,3,1,1,2,0,0,2.7,1.1,0.4,1.5,10,7,29,0.35,0.18,0.53,0.18,0.35,0.47,0.08,0.54,0.19,0.27,0e46fa2f
8,Matthis Abline,fr FRA,FWMF,Rennes,fr Ligue 1,19-356,2003,11,0,107,1.2,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.0,4,2,11,0.84,0.00,0.84,0.84,0.84,0.65,0.22,0.87,0.65,0.87,0e46fa2f
9,Abner,br BRA,DF,Betis,es La Liga,22-296,2000,7,5,366,4.1,0,0,0,0,0,0,2,0,1.1,1.1,0.1,1.2,4,11,16,0.00,0.00,0.00,0.00,0.00,0.27,0.03,0.30,0.27,0.30,7f9c5d2d
10,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,fr Ligue 1,23-029,2000,28,23,1995,22.2,6,5,11,6,0,0,3,0,7.6,7.6,2.8,10.4,72,57,209,0.27,0.23,0.50,0.27,0.50,0.34,0.13,0.47,0.34,0.47,c2a6033c
11,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25-168,1997,26,20,1719,19.1,6,3,9,6,0,0,1,0,9.5,9.5,2.9,12.3,27,39,99,0.31,0.16,0.47,0.31,0.47,0.49,0.15,0.64,0.49,0.64,f586779e
12,Christian Acella,it ITA,MF,Cremonese,it Serie A,20-255,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,771a2cfe
